Dat;Region_ID;FD_ID;Umsatz
2022-01-18;73;5;4948171,55
2022-01-18;74;6;5322543,94
2022-01-18;75;8;890253,89
2022-01-18;76;1;4462352,75
2022-01-18;77;1;98151432,59
2022-01-18;78;2;18404333,32
2022-01-18;83;2;39290,71
2022-01-18;86;6;3346297,02
2022-01-18;87;8;29376,8
2022-01-18;89;6;878304,77
2022-01-18;91;3;159189,22
2022-01-18;92;3;13985,81
2022-01-18;94;3;75113,63
2022-01-19;01;3;608162,17
2022-01-19;02;5;9055138,39
2022-01-19;03;8;203389,75
2022-01-19;04;7;92888,19
2022-01-19;05;4;274249,47
2022-01-19;06;4;113236,47
2022-01-19;07;4;293044,3
2022-01-19;08;3;98660,78
2022-01-19;09;4;472622,32
2022-01-19;10;2;690986,17
2022-01-19;11;2;1338189,62
2022-01-19;12;5;610633,77
2022-01-19;13;5;1094465,73
2022-01-19;14;8;367546,4
2022-01-19;15;4;1452866,26
2022-01-19;16;5;11254194,33
2022-01-19;17;7;78269,53
2022-01-19;18;5;4389445,49
2022-01-19;19;7;324209,11
2022-01-19;20;4;320481,36
2022-01-19;21;5;1240489,79
2022-01-19;22;7;2262523,93
2022-01-19;23;3;27816181,87
2022-01-19;24;7;4625630,82
2022-01-19;25;8;4364911,67
2022-01-19;26;4;11402893,83
2022-01-19;27;8;553756,41
2022-01-19;28;8;155059,14
2022-01-19;29;2;1158022,91
2022-01-19;30;3;6459079,04
2022-01-19;31;1;8847916,55
2022-01-19;32;1;2268901,02
2022-01-19;33;1;2243684,13
2022-01-19;34;3;4814901,18
2022-01-19;35;2;1807546,62
2022-01-19;36;1;9563404,97
2022-01-19;37;1;1315383,38
2022-01-19;38;7;2500109,49
2022-01-19;39;2;536910,05
2022-01-19;40;1;4569340,23
2022-01-19;41;8;4424,91
2022-01-19;42;7;1863451,37
2022-01-19;43;5;1222938,19
2022-01-19;44;1;1284644,68
2022-01-19;45;6;937628,02
2022-01-19;46;1;2368994,04
2022-01-19;47;2;3724901,94
2022-01-19;48;1;5725399,97
2022-01-19;49;8;377119,02
2022-01-19;50;1;28016557,59
2022-01-19;51;2;405362,03
2022-01-19;52;5;7549914,07
2022-01-19;53;2;1012526,58
2022-01-19;54;7;6503046,72
2022-01-19;55;7;1514150,61
2022-01-19;56;5;5428512,7
2022-01-19;57;1;2769942,26
2022-01-19;58;5;1371415,55
2022-01-19;59;5;2449531,35
2022-01-19;60;2;1066786,62
2022-01-19;61;3;24564593,64
2022-01-19;62;1;2272475,95
2022-01-19;63;5;10563153,6
2022-01-19;64;5;3214490,05
2022-01-19;65;8;170003,13
2022-01-19;66;6;8514387,52
2022-01-19;67;1;1828416,33
2022-01-19;68;1;1876075,83
2022-01-19;69;1;2637057,02
2022-01-19;70;7;679288,05
2022-01-19;71;1;5287793,34
2022-01-19;72;6;2309930,7
2022-01-19;73;5;5093160
2022-01-19;74;6;5234862,11
2022-01-19;75;8;1138568,4
2022-01-19;76;1;5445392,26
2022-01-19;77;1;97320822,05
2022-01-19;78;2;18341956,16
2022-01-19;79;8;2467,04
2022-01-19;86;6;3774754,39
2022-01-19;87;8;34559,23
2022-01-19;89;6;1096935,8
2022-01-19;91;3;193259,21
